 N§_boletim;data_hora_boletim;  seq_veic; cod_categ; descricao_categoria; cod_especie;  descricao_especie; cod_situacao; desc_situacao; tipo_socorro; desc_tipo_socorro
2023-012079990-001;14/03/2023 08:12;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-012079990-001;14/03/2023 08:12;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÇO INFORMADO       
2023-012081500-001;14/03/2023 09:40;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-012081500-001;14/03/2023 09:40;2;0;NAO INFORMADO                 ;2;CICLOMOTOR                    ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-002115811-001;14/01/2023 09:57;2;4;ALUGUEL                       ;19;CAMINHAO-TRATOR               ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-002115811-001;14/01/2023 09:57;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-002122920-001;14/01/2023 12:11;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-002122920-001;14/01/2023 12:11;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-002126655-001;14/01/2023 13:02;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-002126655-001;14/01/2023 13:02;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-002130744-001;14/01/2023 12:38;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
